Column,Cidade,UF,Salario.Bruto,Horas.Diarias,Tempo.de.Empresa,Experiencia.Profissional,Iniciativa.Privada.ou.Concursado,Cargo,Formacao,Pos.Graduacao.ou.Certificacao,Regiao
116,Maceió,AL,2500,8,0.5,6,Iniciativa Privada,Desenvolvedor,Bacharel em Ciência da Computação,FALSE,Nordeste
117,Recife,PE,2464,8,0.5,8,Iniciativa Privada,Desenvolvedor,Nao informou,FALSE,Nordeste
118,Curitiba,PR,2400,8,1.41,6,Iniciativa Privada,Programador,Bacharel em Informática,FALSE,Sul
119,Salvador,BA,2400,8,1,10,Iniciativa Privada,Suporte,Analise de Sistemas,TRUE,Nordeste
120,Belo Horizonte,MG,2300,8,0.75,0.75,Iniciativa Privada,Outros Analistas,Bacharel em Sistemas de informação,FALSE,Sudeste
121,Belo Horizonte,MG,2300,8,1,1,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,FALSE,Sudeste
122,nao informou,MG,2275,8,0.41,0.5,Iniciativa Privada,Desenvolvedor,Nao informou,FALSE,Sudeste
123,Maceió,AL,2250,8,0.83,5,Concursado,Redes,Analise de Sistemas,TRUE,Nordeste
124,Belo Horizonte,MG,2200,8,1,1.5,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sudeste
125,Santos,SP,2200,8,1.91,4,Nao informou,Outros Analistas,Nao informou,FALSE,Sudeste
126,Belo Horizonte,MG,2195,8,1,4,Iniciativa Privada,Programador,Bacharel em Ciência da Computação,TRUE,Sudeste
127,Santa Maria,RS,2125,8,2,3,Iniciativa Privada,Analista de Sistemas,Bacharel em Sistemas de informação,TRUE,Sul
128,Belo Horizonte,MG,2110,8,1,20,Iniciativa Privada,Banco de Dados,Bacharel em Ciência da Computação,TRUE,Sudeste
129,Belo Horizonte,MG,2110,8,1,6,Iniciativa Privada,Arquiteto de Sistemas,Bacharel em Ciência da Computação,FALSE,Sudeste
130,Belo Horizonte,MG,2110,8.8,2,5,Iniciativa Privada,Desenvolvedor Java,Bacharel em Sistemas de informação,FALSE,Sudeste
131,Belo Horizonte,MG,2110,8,4,5,Iniciativa Privada,Redes,Nao informou,FALSE,Sudeste
132,Belo Horizonte,MG,2110,8,2,3,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sudeste
133,Belo Horizonte,MG,2110,8,0.08,2,Iniciativa Privada,Desenvolvedor Java,Bacharel em Sistemas de informação,FALSE,Sudeste
134,João Pessoa,PB,2100,8,2,6,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Nordeste
135,Salvador,BA,2100,8,2.16,5,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Nordeste
136,Vitória,ES,2100,6,0.5,5,Concursado,Outros Analistas,Bacharel em Ciência da Computação,FALSE,Sudeste
137,Recife,PE,2070,8,2,3,Iniciativa Privada,Desenvolvedor Java,Engenharia da Computação,TRUE,Nordeste
138,Brasilia,DF,2000,8,5,0.25,Concursado,Outros Analistas,Graduação em Segurança da Informação,TRUE,Centro-oeste
139,Recife,PE,2000,8,0.5,1,Iniciativa Privada,Desenvolvedor Java,Analise de Sistemas,TRUE,Nordeste
140,Belo Horizonte,MG,1900,8,1,2,Iniciativa Privada,Desenvolvedor,Bacharel em Sistemas de informação,FALSE,Sudeste
141,Belo Horizonte,MG,1900,8,1,1.5,Nao informou,Desenvolvedor,Bacharel em Ciência da Computação,TRUE,Sudeste
142,Recife,PE,1900,8,1,4.5,Iniciativa Privada,Banco de Dados,Bacharel em Ciência da Computação,FALSE,Nordeste
143,Curitiba,PR,1800,8,0.75,9,Concursado,Redes,Redes,FALSE,Sul
144,Maceió,AL,1800,8,5,9,Iniciativa Privada,Outros Analistas,Nao informou,FALSE,Nordeste
145,Salvador,BA,1800,8,1,10,Iniciativa Privada,Nao informou,Nao informou,FALSE,Nordeste
146,Recife,PE,1700,8,2,3,Iniciativa Privada,Analista de Sistemas,Engenharia da Computação,TRUE,Nordeste
147,Belo Horizonte,MG,1600,8,0.5,2,Iniciativa Privada,Desenvolvedor Web,Bacharel em Sistemas de informação,FALSE,Sudeste
148,Campinas,SP,1500,6,0.41,4,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,FALSE,Sudeste
149,Viçosa,MG,1500,8,2,2,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Sudeste
150,Viçosa,MG,1500,6,2,8,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,FALSE,Sudeste
151,Rio de Janeiro,RJ,1400,8,2,4,Iniciativa Privada,Suporte,Analise de Sistemas,FALSE,Sudeste
152,Belo Horizonte,SP,1350,8,2,2,Iniciativa Privada,Desenvolvedor Web,Bacharel em Sistemas de informação,FALSE,Sudeste
153,Uberlândia,MG,1300,8.8,0.25,0.25,Iniciativa Privada,Programador,Bacharel em Ciência da Computação,FALSE,Sudeste
154,Brasilia,DF,1200,8,1,6,Concursado,Programador,Nao informou,FALSE,Centro-oeste
155,Recife,PE,1200,8,1,2,Iniciativa Privada,Consultor,Bacharel em Sistemas de informação,FALSE,Nordeste
156,Salvador,BA,1200,8,0.25,32,Iniciativa Privada,Suporte,Ensino Médio,FALSE,Nordeste
157,Vitória,ES,1200,8,1,1,Concursado,outros,Engenharia da Computação,TRUE,Sudeste
158,Curitiba,SE,1150,9,1,1,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,TRUE,Nordeste
159,Ji-Paraná,RO,1105,7,5,10,Concursado,Suporte,Licenciatura Plena Matemática,FALSE,Norte
160,Belo Horizonte,MG,1100,4,0,0,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,FALSE,Sudeste
161,Recife,PE,700,6,0.16,0,Iniciativa Privada,Desenvolvedor Web,Analise de Sistemas,FALSE,Nordeste
162,Viçosa,MG,500,4,0,0,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,FALSE,Sudeste
