id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT;evangelico
160572;JorgeCorteReal;Jorge Côrte Real;ptb;PE;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM;nao
178857;JorgeSolla;Jorge Solla;pt;BA;não;não votou;sim;não votou;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;sim;NAO;nao
73535;JorgeTadeuMudalen;Jorge Tadeu Mudalen;dem;SP;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;abstenção;não;não;não;sim;sim;não;SIM;nao
160509;JorginhoMello;Jorginho Mello;pr;SC;sim;não votou;sim;não votou;sim;sim;não votou;sim;sim;não;sim;não votou;sim;sim;sim;não votou;não votou;sim;não votou;SIM;nao
141464;JoseAirtonCirilo;José Airton Cirilo;pt;CE;sim;sim;não votou;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO;nao
74553;JoseCarlosAleluia;José Carlos Aleluia;dem;BA;sim;sim;sim;não;sim;sim;sim;sim;sim;não;sim;não;não votou;sim;sim;não;sim;sim;não;SIM;nao
74140;JoseCarlosAraujo;José Carlos Araújo;psd;BA;sim;não votou;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não votou;sim;não;sim;sim;NAO;nao
141470;JoseGuimaraes;José Guimarães;pt;CE;sim;não votou;sim;não;não;não;não;não;não;não;sim;sim;não votou;sim;sim;sim;não;sim;não;NAO;nao
74275;JoseMentor;José Mentor;pt;SP;não votou;não votou;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO;nao
160619;JoseNunes;José Nunes;psd;BA;sim;sim;sim;não votou;sim;sim;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;NAO;nao
74395;JoseOtavioGermano;José Otávio Germano;pp;RS;sim;não votou;não;sim;sim;sim;não;não votou;sim;sim;sim;não votou;sim;não;não;não votou;não votou;sim;não votou;SIM;nao
74079;JosePriante;José Priante;pmdb;PA;não votou;não votou;sim;sim;não votou;não votou;7 não votou;não votou;não votou;sim;não votou;não votou;sim;sim;sim;sim;não;não votou;não;SIM;nao
73714;JoseReinaldo;José Reinaldo;psb;MA;sim;não;sim;não votou;sim;sim;sim;sim;sim;sim;não votou;sim;não;sim;sim;sim;não;sim;sim;SIM;nao
74554;JoseRocha;José Rocha;pr;BA;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;NAO;nao
160607;JoseStedile;Jose Stédile;psb;RS;não;não votou;não;sim;não;não;não;não;não;não;não;sim;sim;não;não;sim;não;sim;sim;SIM;nao
114941;JosiNunes;Josi Nunes;pmdb;TO;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;SIM;nao
74351;JosueBengtson;Josué Bengtson;ptb;PA;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;sim;sim;sim;SIM;sim
73666;JovairArantes;Jovair Arantes;ptb;GO;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;abstenção;sim;sim;sim;não;sim;sim;SIM;nao
178851;JoziAraujo;Jozi Araújo;ptb;AP;sim;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO;nao
67312;JuliaMarinho;Júlia Marinho;psc;PA;sim;sim;não;sim;sim;sim;sim;não votou;sim;não votou;sim;sim;sim;não;não;sim;sim;sim;sim;SIM;sim
74317;JulioCesar;Júlio Cesar;psd;PI;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;abstenção;sim;sim;sim;não;sim;sim;SIM;nao
73586;JulioDelgado;Júlio Delgado;psb;MG;não;sim;sim;sim;não;abstção;não;sim;sim;não;não;sim;sim;não;não votou;sim;não;sim;sim;SIM;nao
74253;JulioLopes;Julio Lopes;pp;RJ;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;abstenção;sim;sim;sim;não;sim;não;SIM;nao
178885;JuniorMarreca;Junior Marreca;pen;MA;sim;não votou;sim;não;sim;sim;sim;sim;sim;sim;não votou;não votou;não votou;não;não votou;sim;sim;não votou;sim;NAO;nao
178886;JuscelinoFilho;Juscelino Filho;prp;MA;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim;SIM;nao
74570;JutahyJunior;Jutahy Junior;psdb;BA;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;não;não votou;não votou;não;não;não;não;SIM;nao
